Text,Sentiments,Multi
"Hänsel und Gretel. Es war einmal: So fangen Märchen an. Ein Märchen ist eine sehr alte Geschichte. Dieses Märchen heißt:  änsel und Gretel. Das Märchen geht so:",neutral,no
"Eine Familie lebt an einem großen Wald. Der Vater hat 2 Kinder: Der Junge heißt Hänsel. Und das Mädchen heißt Gretel.",neutral,no
"Die Mutter von Hänsel und Gretel ist gestorben. Jetzt hat der Vater eine neue Frau. Diese Frau ist die Stiefmutter von Hänsel und Gretel.",negative,no
"Die Familie ist arm. Und die Familie hat nur wenig zu essen. Deshalb macht sich der Vater große Sorgen.",negative,no
"Der Vater fragt seine neue Frau: Was soll aus uns werden? Wir haben nichts zu essen für meine armen Kinder.",negative,no
"Seine Frau antwortet: Morgen bringen wir Hänsel und Gretel in den Wald. Alleine werden Hänsel und Gretel nicht den Weg nach Hause finden. Dann sind wir Hänsel und Gretel los.",negative,no
"Der Vater antwortet: Ich will meine Kinder nicht im Wald lassen. Die wilden Tiere werden die Kinder fressen.",negative,no
"Seine Frau antwortet: Du Dummkopf. Wir sind arm.",negative,no
"Wir können nicht genug Essen für uns alle kaufen. Hänsel und Gretel müssen weg.",negative,no
"Hänsel und Gretel liegen im Bett. Aber Hänsel und Gretel sind noch wach.",neutral,no
"Deshalb haben Hänsel und Gretel alles gehört. Gretel ist sehr traurig.",negative,no
"Hänsel tröstet Gretel: Mach dir keine Sorgen. Morgen bringen uns Vater und die Stiefmutter in den Wald.",neutral,no
"Aber ich nehme kleine weiße Steine vom Hof mit. Die kleinen weißen Steine lasse ich auf den Weg fallen.",neutral,no
"Dann werden uns die kleinen weißen Steine den Weg nach Hause zeigen.",positive,no
"Es ist der nächste Morgen. Die Stiefmutter weckt Hänsel und Gretel: Ihr faulen Kinder!",negative,no
"Steht auf. Wir wollen in den Wald gehen. Und Holz sammeln.",neutral,no
"Die Familie geht in den Wald. Hänsel hat kleine weiße Steine vom Hof in seinen Hosen·taschen.",neutral,no
"Und Hänsel lässt die kleinen weißen Steine auf den Weg fallen. So wie Hänsel es Gretel versprochen hat.",positive,no
"Im Wald sagt die Stiefmutter zu Hänsel und Gretel: Ihr wartet hier. Wir gehen Holz sammeln. Wir holen euch später ab.",neutral,no
"Aber der Vater und die Stiefmutter gehen ohne Hänsel und Gretel nach Hause.",negative,no
"Jetzt sind Hänsel und Gretel allein im Wald. Hänsel und Gretel sind sehr müde. Und Hänsel und Gretel schlafen ein.",negative,no
"Es ist dunkle Nacht. Hänsel und Gretel wachen auf. Hänsel und Gretel wollen nach Hause.",neutral,no
"Zum Glück scheint der Mond hell. So können Hänsel und Gretel die kleinen weißen Steine auf dem Weg sehen.",positive,no
"Und Hänsel und Gretel finden den Weg nach Hause. Hänsel und Gretel kommen zu Hause an. Hänsel und Gretel umarmen den Vater.",positive,no
"Der Vater freut sich sehr. Der Vater hat seine 2 Kinder nämlich vermisst. Aber die Stiefmutter ärgert sich.",positive-negative,yes
"Wenige Tage später: Die Familie hat wieder nichts zu essen. Die Stiefmutter will Hänsel und Gretel wieder in den Wald schicken.",negative,no
"Dieses Mal hat Hänsel keine kleinen weißen Steine. Die Stiefmutter hat nämlich abends die Tür zum Hof abgeschlossen.",negative,no
"Deshalb kann Hänsel keine kleinen weißen Steine vom Hof holen.",negative,no
"Aber Hänsel hat Brotkrümel. Die Familie geht in den Wald. Und Hänsel lässt die Brotkrümel auf den Weg fallen.",neutral,no
"Im Wald sagt die Stiefmutter zu Hänsel und Gretel: Ihr wartet hier. Wir gehen Holz sammeln. Wir holen euch später ab.",neutral,no
"Aber der Vater und die Stiefmutter gehen ohne Hänsel und Gretel nach Hause.",negative,no
"Jetzt sind Hänsel und Gretel allein im Wald. Hänsel und Gretel sind sehr müde. Und Hänsel und Gretel schlafen ein.",negative,no
"Es ist dunkle Nacht. Hänsel und Gretel wachen auf. Hänsel und Gretel wollen nach Hause.",neutral,no
"Zum Glück scheint der Mond hell. So können Hänsel und Gretel vielleicht die Brotkrümel auf dem Weg sehen.",neutral,no
"Aber Hänsel und Gretel sehen die Brotkrümel auf dem Weg nicht. Die Brotkrümel sind weg. Vögel haben die Brotkrümel gegessen.",negative,no
"Hänsel und Gretel laufen durch den Wald: Hänsel und Gretel suchen den Weg nach Hause.",neutral,no
"Aber Hänsel und Gretel finden den Weg nach Hause nicht. So laufen Hänsel und Gretel 3 Tage lang durch den Wald.",negative,no
"Hänsel und Gretel sind hungrig. Und Hänsel und Gretel frieren.",negative,no
"Nach einer Weile sehen Hänsel und Gretel einen kleinen Vogel auf einem Ast. Der kleine Vogel singt wunderschön.",positive,no
"Dann fliegt der kleine Vogel weiter. Hänsel und Gretel laufen dem kleinen Vogel nach.",neutral,no
"Dann kommen Hänsel und Gretel zu einem Häuschen. Ein Häuschen ist ein kleines Haus.",neutral,no
"Das Häuschen ist mitten im Wald. Das Häuschen ist aus Brot. Und Zucker. Und das Dach von dem Häuschen ist mit Leb·kuchen bedeckt.",positive,no
"Hänsel sagt zu Gretel: Das Häuschen sieht lecker aus. Und ich bin sehr hungrig.",positive,no
"Lass uns ein Stück vom Häuschen essen. Ich esse ein Stück vom Dach.",positive,no
"Hänsel und Gretel essen ein Stück vom Häuschen. Plötzlich hören Hänsel und Gretel eine Stimme. Die Stimme kommt aus dem Häuschen:",neutral,yes
"Knusper knusper Knäuschen. Wer knuspert an meinem Häuschen?",neutral,no
"Hänsel und Gretel antworten: Der Wind. Der Wind. Das himmlische Kind. Dann essen Hänsel und Gretel weiter.",neutral,no
"Die Tür vom Häuschen geht auf. Und eine alte Frau kommt aus dem Häuschen. Hänsel und Gretel erschrecken sich.",negative,no
"Aber die alte Frau sagt: Liebe Kinder! Kommt herein. Habt keine Angst.",positive,no
"Hänsel und Gretel gehen mit der alten Frau ins Häuschen.",neutral,no
"Die alte Frau ist sehr nett zu Hänsel und Gretel.",positive,no
"Die alte Frau gibt Hänsel und Gretel zu essen: Milch. Und Pfannkuchen. Äpfel. Und Nüsse.",positive,no
"Dann gehen Hänsel und Gretel ins Bett. Hänsel und Gretel sind sehr glücklich. Und denken: Die alte Frau ist nett.",positive,no
"Aber das ist falsch: Die alte Frau ist nämlich eine böse Hexe. Und die böse Hexe will Hänsel und Gretel essen.",negative,no
"Es ist der nächste Tag. Jetzt ist die Hexe nicht mehr nett zu Hänsel und Gretel.",negative,no
"Die Hexe ist böse. Die Hexe packt Hänsel. Und die Hexe sperrt Hänsel in einen Käfig.",negative,no
"Der Käfig hat ein Gitter. Deshalb kann Hänsel nicht aus dem Käfig heraus.",negative,no
"Dann sagt die Hexe zu Gretel: Du faules Mädchen! Mach dich an die Arbeit! Koch Essen!",negative,no
"Hänsel soll nämlich fett werden. Dann kann ich Hänsel essen.",negative,no
"Gretel weint viele Tränen. Aber Gretel muss auf die Hexe hören.",negative,no
"Jeden Morgen kommt die Hexe zu Hänsel. Und die Hexe fragt: Bist du schon fett?",negative,no
"Zeig mir deine Finger. Ich will deine Finger fühlen.",negative,no
"Aber Hänsel ist schlau: Hänsel steckt nicht seine Finger durch das Gitter. Hänsel steckt einen dünnen Knochen durch das Gitter.",positive,no
"Die Hexe hat nämlich schlechte Augen. Deshalb sieht die Hexe den Knochen nicht.",neutral,no
"Und die Hexe denkt: Hänsel ist immer noch zu dünn.",neutral,no
"Die Zeit vergeht: Hänsel und Gretel sind viele Wochen bei der Hexe.",negative,no
"An einem Morgen ruft die Hexe zu Gretel: Morgen will ich Hänsel im Ofen braten.",negative,no
"Gretel denkt: Der liebe Gott soll uns beschützen! Die Hexe darf Hänsel nicht essen.",negative,no
"Die arme Gretel weint viele Tränen. Aber die Hexe sagt zu Gretel: Sei still. Weinen hilft dir nicht.","negative","no"
"Am nächsten Morgen sagt die Hexe zu Gretel: Jetzt brate ich Hänsel im Ofen. Ist der Ofen heiß?","negative","no"
"Gretel soll in den Ofen steigen. Die Hexe will Gretel nämlich in den Ofen stoßen. Gretel soll im Ofen braten.","negative","no"
"Aber Gretel ist schlau. Gretel kennt den Plan von der Hexe.","positive","no"
"Und deshalb fragt Gretel die Hexe: Wie komme ich in den Ofen?","neutral","no"
"Die Hexe ist wütend. Und sagt: Dummes Kind! Geh da weg. Ich zeige es dir.","negative","no"
"Und die Hexe macht es Gretel vor: Die Hexe steckt den Kopf in den Ofen.","neutral","no"
"Und sofort gibt Gretel der Hexe einen Stoß: Die Hexe fällt in den Ofen.","negative-positive","yes"
"Gretel macht schnell die Tür vom Ofen zu. Und die böse Hexe verbrennt im Ofen.","positive","no"
"Dann läuft Gretel schnell zum Käfig. Gretel befreit Hänsel aus dem Käfig.","positive","no"
"Und ruft: Wir sind frei! Die böse Hexe ist im Ofen verbrannt!","positive","no"
"Hänsel und Gretel umarmen sich.","positive","no"
"Dann gehen Hänsel und Gretel in das Häuschen von der Hexe: In allen Ecken stehen große Kisten.","neutral","no"
"In den Kisten sind Edelsteine. Hänsel steckt sich Edelsteine in seine Hosentaschen. Und auch Gretel nimmt einige Edelsteine.","positive","no"
"Dann sagt Hänsel zu Gretel: Lass uns den Weg nach Hause suchen. Und Hänsel und Gretel laufen durch den Wald.","neutral","no"
"Hänsel und Gretel haben Glück: Hänsel und Gretel finden endlich den Weg aus dem Wald.","positive","no"
"Nach einer Weile sehen Hänsel und Gretel das Haus vom Vater. Hänsel und Gretel kommen am Haus vom Vater an.","positive","no"
"Hänsel und Gretel gehen in das Haus hinein: Der Vater sieht Hänsel und Gretel.","positive","no"
"Und der Vater ist sehr glücklich. Ohne seine Kinder war der Vater sehr traurig.","negative-positive","yes"
"Die Stiefmutter ist nicht mehr da. Die Stiefmutter ist nämlich gestorben.","neutral","no"
"Hänsel und Gretel umarmen den Vater.","positive","no"
"Dann zeigen Hänsel und Gretel dem Vater die Edelsteine.","positive","no"
"Jetzt ist die Familie reich. Und die Familie muss nie wieder Hunger leiden.","positive","no"
"Hänsel und Gretel und ihr Vater leben glücklich zusammen. Das war das Märchen von Hänsel und Gretel.","positive","no"
